SRMOD.KEY$,SRMOD.DESCRIPTOR$,SRMOD.ARRAY$,SRMOD.SHELF.COUNT%,SRMOD.ITEM.COUNT%,SRMOD.FILLER$
108:08000;00,MODULE 0011                   ,010140790201000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,1,                  
3?9508000100,MODULE 0001                   ,010160879301000100010160710801000100010160738901000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,3,                  
==9908000100,MODULE 0001                   ,010222971503000<00010223698603000<00010218839104001000010222976003000<00010241727503000<00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,5,                  
56908000200,MODULE 0002                   ,010146545402000400010135752401000200010178044001000200010149361702000400010149361602000400010160784901000200010176221301000300010162621401000200010164116401000300010162621201000300010162621301000300010149361501000200020163395201000200020132991101000300020144562401000300020144562701000300020120460401000300020160784801000200020142132402000600020178044301000300020153376702000400020133412701000300020133415901000300020133405501000300020133406001000300020142132501000300020164115801000300030312909506001500030217627902000800030261833604000>00030212909403000:00030212909603000<00030261833503000<00030212909303000<00040263332603000:00040278045704000>00040249361805001200050131075103000:00050114829703000<00050119720702000500050144562602000700050117628102000900050112900405001100050117627804000>00050119721102000600050119721002000500050119720802000500050149525602000900050120470403000:00050133402902000800,5,50,                  
=;0008000400,MODULE 0004                   ,010163443703000<00010163443503000;00010263443802000800010163443603000<00010163444204001000020163443103000<00020163443902000700020163444104000?00020163444002000700020163443403000<00020163443203000<00030163430302000900030163429502000900030163429603000<00030263429702000800040263430003000<00040163430202000700050163429803000;00050263430103000<00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,5,19,                  
115?08000500,MODULE 0005                   ,010261997406001400010261997206001400010261997606001400010261997506001400010129462003000:00010129462603000:00010144685903000:00020176999202000900020135725902000900020152839702000800020117370302000800020140107402000800020160263302000800020176999502000900020158041302000600030152828302000900030117370502000900030176999002000900030145414402000900030153762703000;00030159058602000900030145414502000900040113020202000800040113020502000800040113020102000800040159662103000:00040145415202000900040159662003000:00040115438102000600040119916202000900040119917002000900050128460102000900050111759703000;00050117371903000;00050145415003000;00050176259303000;00050110509003000;00050110508903000;00050150441703000;00050125193603000:00060140833602000600060140833802000600060140833702000600060140833902000600060140072102000700060161011502000500060140536802000900060140548602000900060130436302000900060121448902000700,6,50,                  
7?9:08000102,MODULE 0001                   ,010163702702000600010163702802000600010163702902000600010163703302000600010163703402000600010163703502000600010164151702000600010164151802000600010176861002000600010176861102000600010176861402000600010176861502000600010122289403000<00010146724103000<00010162898903000<00010162899103000<00010162899503000<00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,117,                  
12::07000100,MODULE 0001                   ,010140790201000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,1,                  
118:08000900,MODULE 0009                   ,010359782409001>00010359782309001>00010359782109001>00020364720506001500020364841106001500030364763906001500030364763806001500040264722004001000040364743507001800040364743607001800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,4,10,                  
26?08000707,MODULE 0007                   ,010156598703000<00010156598803000<00010156598902000600010156599002000600010156599102000600010156599202000600010156599302000600010156599402000600010156599502000600010156599602000600010156599702000600010156599802000600010156600002000600010156600102000600010156600402000800010159790902000600010159791002000600010159791102000600010159791202000600010159791302000600010159791402000600010159791502000600010159791602000600010160082002000600010160108802000600010160389101000300010160389201000300010160389402000600010160634702000500010160676302000500010160699202000500010160699302000500010160699402000500010160699502000500010160699602000500010160699802000500010160699902000500010160700002000500010160700202000500010161072702000600010161206802000600010161206902000600010161207002000600010161276601000300010161277102000600010161277302000600010161277402000600010161278104001000010161278204001000010161278304001000,1,441,                  
