SRPDF.KEY$,SRPDF.SHRT.DESC$,SRPDF.FULL.DESC$,SRPDF.FILLER$
33970800,0000491033                                        ,Toiletries End 3 1.0Y Three Way Unit Left                                                           ,               
=;390800,Batteries3                                        ,Power 400mm 3.0G Destination GF                                                                     ,               
11960800,Tiss Mid GL                                       ,Tissues 1 Mid Gondola Mainstream                                                                    ,               
93840500,MCGrap1                                           ,PH Mini Club Graphics Panel 1.0G Destination GF                                                     ,               
0<:40800,Essie Hot Spot Stock POG                          ,Essie 1 Cosmetics Hot Spot 400mm                                                                    ,               
17:=0800,No7HiddenGems2                                    ,No7 Hidden Gems 2                                                                                   ,               
;:6<0800,RapidTB                                           ,UK Rapid Till Merchandiser B                                                                        ,               
24500800,GCD                                               ,#Giftcard D & Bag for life                                                                          ,               
3?950800,Ind Bath Mid                                      ,Indulgent Body Care & Gift 2 Mid Gondola 300mm                                                      ,               
:29?0800,Branded FSDU                                      ,No7 Q BFSDU 4mod+ 2                                                                                 ,               
18:70800,Mens Mid                                          ,Mens A Mid Gondola Mainstream                                                                       ,               
07870800,ChildSeas5                                        ,PH Childrens Seasonal 400mm 5.0G GF                                                                 ,               
33840700,3WayTGE4                                          ,PH Toiletries End 4 1.0Y Three Way Unit                                                             ,               
=9<0800,TOD2BACK                                          ,Fragrance TOD 2 Back                                                                                ,               
6>9=0800,BBEBFSDU15                                        ,BBE Branded FSDU 1 1.0Z                                                                             ,               
98;20800,Essie R&R 1 Mod                                   ,#Essie 1 Mod R&R Product POG                                                                        ,               
0>;90800,3WayHCSPEnd4L                                     ,Healthcare End 4 3.0Z Three Way Unit Left                                                           ,               
79970800,BFSDU                                             ,Cosmetics Branded FSDU 1 1.0Z                                                                       ,               
;79=0800,Skin 1 Mid GL                                     ,Everyday Facial Skincare 2 Mid Gondola Mainstream                                                   ,               
463<0800,EBDent1                                           ,Electrical Dental 400mm 1.0G Destination GF                                                         ,               
<:::0800,SunHEnd1                                          ,Sun Shop End 1 1.0Y Mainstream                                                                      ,               
796=0800,BFood9                                            ,Baby Food 400mm 9.0G GF                                                                             ,               
7:970800,BFSDU                                             ,Cosmetics Branded FSDU 2 1.0Z                                                                       ,               
=8950800,3WayTGE6C                                         ,Toiletries End 6 1.0Y Three Way Unit Centre                                                         ,               
>:;:0800,P.Club 1                                          ,Parenting Club 400mm 1.0G GF                                                                        ,               
1990800,Prem Skin Mid                                     ,Premium Facial Skincare Loreal Mid Gondola 300mm                                                    ,               
>1:60800,LOreal 4 Mod R&R                                  ,#LOreal 4 Mod R&R Product POG                                                                       ,               
97:10800,0000023802                                        ,Feedtime 1 Mid Gondola Mainstream                                                                   ,               
709=0800,ChngWipes Mid                                     ,Changetime and Wipes Mid Gondola Mainstream                                                         ,               
86:30800,TOD4FRONT                                         ,PH Fragrance TOD 4 Front                                                                            ,               
=>990800,Skin 3 Mid GL                                     ,Everyday Facial Skincare 3 Mid Gondola Mainstream                                                   ,               
<28:0800,PPS6G                                             ,Prime Promotional Site 6.0G                                                                         ,               
:;=30700,ChilBsk2                                          ,Chiller Basket 2 1.0V                                                                               ,               
45;;0800,BFSDU                                             ,Lifestyle Branded FSDU 1 1.0Z                                                                       ,               
?;<0800,Deos4                                             ,Deodorants 400mm 4.0G GF                                                                            ,               
=5:30800,0000491152                                        ,Healthcare End 3 3.0Z Three Way Unit Centre                                                         ,               
29:50600,UNIT1                                             ,UK Chemist Counter Impulse Unit 1                                                                   ,               
3>350800,WM Diet 4                                         ,Weight Management & Dietary 400mm 4.0W GF                                                           ,               
769>0800,3WaySSGE3C                                        ,Sun Shop End 3 1.0Y Three Way Unit Centre                                                           ,               
39840700,3WayTGE6                                          ,PH Toiletries End 6 1.0Y Three Way Unit                                                             ,               
:4390800,Maybelline R&R 3 Mod                              ,#Maybelline 3 Mod R&R Product POG                                                                   ,               
39:10800,BFSDU                                             ,Lifestyle Branded FSDU 1 1.0Z                                                                       ,               
77;30800,0000491163                                        ,Photo End 1 3.0Z Three Way Unit Left                                                                ,               
07;90800,BFSDU                                             ,Healthcare Branded FSDU 2 1.0Z                                                                      ,               
5=560800,EBMaleGrm3                                        ,Electrical Male Grooming 400mm 3.0G Destination GF                                                  ,               
49950800,HBD 1 Mid GL                                      ,Hand and Body 1 Mid Gondola Mainstream                                                              ,               
8;9;0800,Branded FSDU                                      ,No7 Q BFSDU 4mod+ 2                                                                                 ,               
3;970800,0000490946                                        ,Toiletries End 1 1.0Y Three Way Unit Left                                                           ,               
1:870800,TravAccs5                                         ,PH Travel Accessories 400mm 5.0G Destination GF                                                     ,               
02:70800,0000412599                                        ,Data Storage Mid Gondola Mainstream                                                                 ,               
91:<0800,Dental 2 Mid GL                                   ,Dental 2 Mid Gondola Mainstream                                                                     ,               
;5:=0800,FragSS1                                           ,Fragrance Supersite Ladies 1.0G                                                                     ,               
6?;80800,Hlth Bkwll Mid3                                   ,Healthcare Backwall Mid Gondola 3                                                                   ,               
>>:60800,H1N1FSDU1 1                                       ,Healthcare Branded FSDU 6 1.0Z                                                                      ,               
93;70800,IQM4+W                                            ,IQM UK Queue System 4.0G + Water Unit                                                               ,               
:67=0700,TE 1                                              ,PH Toiletries End 1 1.0Y Three Way Unit                                                             ,               
:7920800,Natural Collection Cosmetics Hot Spot Stock POG   ,Natural Collection 2 Cosmetics Hot Spot 400mm                                                       ,               
>3950800,ShmpCond Mid                                      ,Shampoo 1 Mid Gondola Mainstream                                                                    ,               
;09=0800,MG                                                ,Expert Skincare 1 Mid Gondola 300mm                                                                 ,               
;2330700,0000465978                                        ,No7 Till Unit POG 2                                                                                 ,               
>=520800,PMeds 8                                           ,Pharmacy Medicines 300mm 8.0J HH1 GF                                                                ,               
<:850800,HH2G                                              ,PH Holiday Healthcare 400mm 2.0G Destination GF                                                     ,               
:==;0700,3WaySSGE3                                         ,PH Sun Shop End 3 1.0Y Three Way Unit                                                               ,               
17000800,Cos&Hair8                                         ,Ladies Cosmetics And Hair Gift 400mm 8.0G GF                                                        ,               
