SRPDF.KEY$,SRPDF.SHRT.DESC$,SRPDF.FULL.DESC$,SRPDF.FILLER$,,
33970800,491033,Toiletries End 3 1.0Y Three Way Unit Left                                                           ,               ,,
=;390800,Batteries3                                        ,Power 400mm 3.0G Destination GF                                                                     ,               ,,
11960800,Tiss Mid GL                                       ,Tissues 1 Mid Gondola Mainstream                                                                    ,               ,,
93840500,MCGrap1                                           ,PH Mini Club Graphics Panel 1.0G Destination GF                                                     ,               ,,
:54>0800,Dental Mid GL                                     ,Dental 1 Mid Gondola Mainstream                                                                     ,               ,,
<?4?0800,MG                                                ,Beauty Healthy Skin 1 Mid Gondola 300mm                                                             ,               ,,
17:=0800,No7HiddenGems2                                    ,No7 Hidden Gems 2                                                                                   ,               ,,
0<:40800,Essie Hot Spot Stock POG                          ,Essie 1 Cosmetics Hot Spot 400mm                                                                    ,               ,,
11900800,Hair & Styling mid                                ,Styling 1 Mid Gondola Mainstream                                                                    ,               ,,
;:6<0800,RapidTB                                           ,UK Rapid Till Merchandiser B                                                                        ,               ,,
24500800,GCD                                               ,#Giftcard D & Bag for life                                                                          ,               ,,
3?950800,Ind Bath Mid                                      ,Indulgent Body Care & Gift 2 Mid Gondola 300mm                                                      ,               ,,
:29?0800,Branded FSDU                                      ,No7 Q BFSDU 4mod+ 2                                                                                 ,               ,,
18:70800,Mens Mid                                          ,Mens A Mid Gondola Mainstream                                                                       ,               ,,
5=730800,BFSDU                                             ,Lifestyle Branded FSDU 1 1.0Z                                                                       ,               ,,
7870800,ChildSeas5                                        ,PH Childrens Seasonal 400mm 5.0G GF                                                                 ,               ,,
33840700,3WayTGE4                                          ,PH Toiletries End 4 1.0Y Three Way Unit                                                             ,               ,,
TRUE,TOD2BACK                                          ,Fragrance TOD 2 Back                                                                                ,               ,,
6>9=0800,BBEBFSDU15                                        ,BBE Branded FSDU 1 1.0Z                                                                             ,               ,,
0>;90800,3WayHCSPEnd4L                                     ,Healthcare End 4 3.0Z Three Way Unit Left                                                           ,               ,,
