SRPOG.KEY$,SRPOG.POGID%,SRPOG.ACT.DATE$,SRPOG.DEACT.DATE$,SRPOG.DESCRIPTION$,SRPOG.PLANNER.FAMILY$,SRPOG.MODULE.COUNT%,SRPOG.CAT.DBKEY%,SRPOG.KEY.LEVEL%,SRPOG.LIVE.RPT.CNT%,SRPOG.DATE.RPT.CNT$,SRPOG.PEND.RPT.CNT%,SRPOG.CAT1.ID%,SRPOG.CAT2.ID%,SRPOG.CAT3.ID%,SRPOG.FILLER$
9<300800,511,20150824,21991231,BathAccs5                     ,Bathing Accessories           ,5,100028660,3,1,20151223,1,1,2,8660, 
<3840800,307503,20151125,20151229,#BarryM Hot Spot Stock POG    ,Barry M                       ,1,-1,3,1,20151223,255,1,6819,10967, 
3>:<0800,301331,20160106,20160202,FragSS1                       ,Ladies Fine Fragrance         ,1,-1,3,255,20151223,1,1,6819,10681, 
1:9<0800,461179,20160120,21991231,Rimmel R&R 4 Mod              ,Rimmel                        ,4,100020027,3,255,20151223,1,1,2,27, 
75=;0100,121717,20060820,21991231,AD Card Kiosk                 ,AD Card                       ,1,168199167,3,2,20151223,2,1,6819,9167, 
9=:10800,10057,20151209,20160105,BabyEnd2                      ,Baby SP G End                 ,1,168197090,3,1,20151223,1,1,6819,7090, 
86990800,461158,20151111,21991231,SEVENTEEN R&R 3 Mod           ,Seventeen                     ,3,100020027,3,1,20151223,1,1,2,27, 
9?9?0800,10046,20151230,20160119,CosEnd1                       ,Cosmetics SP G End            ,1,-1,3,255,20151223,2,1,6819,10967, 
61;80800,20228,20151230,20160202,WMD mid                       ,Mid Gondola                   ,1,168197115,3,255,20151223,2,1,6819,7115, 
73020800,522726,20150921,21991231,HomeFrag3                     ,Home Fragrance                ,3,100029642,3,1,20151223,255,1,2,9642, 
;520800,458308,20151102,21991231,PMeds 1                       ,Pharmacy Medicines Drawer     ,1,100020022,3,255,20151223,1,1,2,22, 
<39>0800,20472,20160120,21991231,Pers Wash Mid                 ,Mid Gondola                   ,1,168197115,3,255,20151223,1,1,6819,7115, 
6:80800,98743,20151230,20160119,ToilEnd2                      ,Toiletries SP G End           ,1,168197090,3,255,20151223,2,1,6819,7090, 
0=930800,301900,20151111,20160105,TOD1FRONT                     ,Tod                           ,1,-1,3,1,20151223,1,1,6819,10681, 
<>840800,307528,20151125,20151229,0000307528                    ,L Oreal SS Cos                ,1,-1,3,1,20151223,255,1,6819,10967, 
=>990800,96308,20151125,20151229,Skin 3 Mid GL                 ,Mid Gondola                   ,1,168197115,3,1,20151223,255,1,6819,7115, 
93:50800,491161,20160203,21991231,0000491161                    ,Photo SP G End                ,1,168197090,3,255,20151223,1,1,6819,7090, 
:=950800,20477,20151125,20151229,Dental Mid GL                 ,Mid Gondola                   ,1,168197115,3,1,20151223,255,1,6819,7115, 
3;970800,490946,20151125,20151229,0000490946                    ,Toiletries SP G End           ,1,168197090,3,1,20151223,255,1,6819,7090, 
529<0800,252310,20160120,20160202,H1N1FSDU2 1                   ,BFSDUs                        ,1,168197072,3,255,20151223,1,1,6819,7072, 
27020800,521960,20150921,21991231,GiftGFSD                      ,Christmas Flexible Space      ,1,100029642,3,3,20151223,255,1,2,9642, 
2?360800,235082,20150810,21991231,DC 3                          ,Digestive Care                ,3,100020022,3,1,20151223,1,1,2,22, 
<:880800,348749,20160111,21991231,Minis1                        ,Miniatures                    ,1,100020034,3,255,20151223,1,1,2,34, 
04:40800,96312,20160120,21991231,Dep Mid                       ,Mid Gondola                   ,1,168197115,3,255,20151223,1,1,6819,7115, 
40;40800,347152,20151230,21991231,HOT                           ,Impulse                       ,1,-1,3,255,20151223,2,1,6819,10071, 
19:0800,367379,20160120,21991231,Cosmetic Promo                ,No7 Hotspot                   ,1,-1,3,255,20151223,1,1,6819,10967, 
909;0800,442799,20160120,21991231,CTU 4-7                       ,No7 SP Counter                ,1,-1,3,255,20151223,2,1,6819,10967, 
7=:30800,301900,20160106,21991231,TOD1FRONT                     ,Tod                           ,1,-1,3,255,20151223,1,1,6819,10681, 
8;3<0200,135654,20070519,21991231,HH1 Services Menu Ladder      ,Healthchecks                  ,1,168207521,3,1,20151223,1,1,6820,7521, 
96;70800,13112,20160120,21991231,BFSDU                         ,BFSDUs                        ,1,168197072,3,255,20151223,1,1,6819,7072, 
949;0800,96310,20160120,21991231,Skin 1 Mid GL                 ,Mid Gondola                   ,1,168197115,3,255,20151223,1,1,6819,7115, 
359?0800,23768,20160203,21991231,Vits mid                      ,Mid Gondola                   ,1,168197115,3,255,20151223,1,1,6819,7115, 
65950800,367379,20151125,20151229,Cosmetic Promo                ,No7 Hotspot                   ,1,-1,3,1,20151223,255,1,6819,10967, 
459<0800,31731,20151111,20151229,CLIP7                         ,Clipstrips                    ,1,168199456,3,1,20151223,255,1,6819,9456, 
0>;90800,491130,20151230,20160202,3WayHCSPEnd4L                 ,Healthcare SP G End           ,1,168197090,3,255,20151223,2,1,6819,7090, 
;;900800,341464,20151230,20160119,Soap&Glory Hot Spot Stock POG ,Soap And Glory SS Cosmetics   ,1,-1,3,255,20151223,2,1,6819,10967, 
78020800,519550,20150921,21991231,Innov3                        ,Innovation Novelty And Mens Ac,3,100029642,3,1,20151223,255,1,2,9642, 
:=:50800,404708,20160203,21991231,SmokingSPMid                  ,Mid Gondola                   ,1,168197115,3,255,20151223,1,1,6819,7115, 
41390800,521925,20151111,21991231,FlexSp14                      ,Christmas Flexible Space      ,1,100029642,3,1,20151223,255,1,2,9642, 
