SRSXF.KEY$,SRSXF.NOTCH.NO%,SRSXF.SHELF.KEY%,SRSXF.SHELF.DESC$
609208000303,6,901,400 Wood Shelf with Dividers                        
453:08000503,20,252,500 Wood Shelf                                      
796=08000904,17,29,400 Wood Shelf with dividers                        
>9=08000103,15,1704,Three Way Gondola Shelf - Left                      
453:08000;05,5,252,500 Wood Shelf                                      
59108000403,36,319,Fragrance Shelf                                     
2:9>08000103,17,1704,Three Way Gondola Shelf - Left                      
133>08000712,5,1004,400mm Metal Wall Base Shelf wi                      
5<:>08000103,11,41,400 Wood Shelf                                      
76<306000102,38,1242,Integrated Microslat Extension                      
==:<08000104,0,1248,Three Way Gondola Shelf - Cent                      
;5208000102,7,40,300 Wood Shelf                                      
<84508000113,9,824,300mm Metal Shelf with Divider                      
<79108000106,5,923,400mm Metal Wall Base Shelf                         
6<6408000101,0,42,                                                    
=98908000101,37,933,Slat Panel Beech with 250mm Ho                      
:13408000205,2,922,400 GF/GL Lower Base Shelf wit                      
780208000301,36,1564,Slat Panel Beech with 400mm Ho                      
183:08000303,41,824,300mm Metal Shelf with Divider                      
=36;08000305,8,41,400 Wood Shelf                                      
118:08000803,13,901,400 Wood Shelf with Dividers                        
009>08000105,0,534,BFSDU Shelf                                         
>09=08000102,25,1248,Three Way Gondola Shelf - Cent                      
>2:008000101,0,42,                                                    
3>3508000201,48,901,400 Wood Shelf with Dividers                        
=89508000104,23,1248,Three Way Gondola Shelf - Cent                      
453:08000203,19,252,500 Wood Shelf                                      
2=9>08000103,15,534,BFSDU Shelf                                         
:40308000604,7,41,400 Wood Shelf                                      
2=9:08000704,26,1252,400 Wood Shelf with Navigation                      
104808000306,28,896,300 Wood Shelf with Dividers                        
=>:908000101,28,534,BFSDU Shelf                                         
><5208000506,13,904,300 Glass Shelf with Dividers                       
3:??07000104,2,897,400 GF/GL Lower Base Shelf                          
91;708000408,1,1839,Queue System Shelf                                  
=>:208000102,23,1248,Three Way Gondola Shelf - Cent                      
058808000702,38,1847,Sunglasses Slat Wall Panel                          
349708000101,22,534,BFSDU Shelf                                         
:29?08000101,0,56,200 Wood Shelf                                      
4?7:08000301,34,41,400 Wood Shelf                                      
118:08000:04,6,901,400 Wood Shelf with Dividers                        
<28:08000602,24,41,400 Wood Shelf                                      
3;:908000406,9,1837,IQM Single 1/2 Width Shelf                          
453:08000104,5,252,500 Wood Shelf                                      
=2308000103,28,824,300mm Metal Shelf with Divider                      
289>08000105,0,1248,Three Way Gondola Shelf - Cent                      
91880800011;,10,1816,Hanging Dump Bin incl Ticket H                      
2=:908000103,17,1704,Three Way Gondola Shelf - Left                      
624108000302,27,29,400 Wood Shelf with dividers                        
777608000105,1,825,300mm Metal Gondola Base Shelf                      
058808000102,38,1765,Glasses Frame Support Column                        
<:5508000502,35,1828,Regime Unit Tray Base                               
104808000103,38,1556,Dummy Pack - Tray                                   
:1:708000301,69,881,Clip Strip                                          
=8008000705,13,901,400 Wood Shelf with Dividers                        
91;708000102,13,646,Water FSDU Shelf                                    
56908000109,25,1323,200 Glass Shelf with LED Illum                      
133>08000909,34,990,400mm Metal Shelf with Divider                      
777608000307,9,824,300mm Metal Shelf with Divider                      
51;908000101,0,1540,300mm Mid Gondola Site                              
<28:08000403,16,41,400 Wood Shelf                                      
=79208000302,28,1357,IQM Hood - Half Width - Shelf                       
5=5608000305,2,897,400 GF/GL Lower Base Shelf                          
:2:108000101,34,28,300 Wood Shelf with dividers                        
<:4608000704,16,29,400 Wood Shelf with dividers                        
39:108000103,11,534,BFSDU Shelf                                         
<:5508000804,28,100,300 Glass Shelf                                     
918808000301,35,1816,Hanging Dump Bin incl Ticket H                      
9?9?08000103,8,40,300 Wood Shelf                                      
929>08000104,1,534,BFSDU Shelf                                         
3?:<08000102,0,885,Fragrance Supersite Shelf                           
157808000101,0,42,                                                    
<7<08000105,19,41,400 Wood Shelf                                      
<>1808000203,48,901,400 Wood Shelf with Dividers                        
91:<08000101,0,326,12" Mid Gondola Promotional Un                      
<>1808000115,13,901,400 Wood Shelf with Dividers                        
<8450800040:,21,824,300mm Metal Shelf with Divider                      
=;0008000403,16,41,400 Wood Shelf                                      
624108000301,37,29,400 Wood Shelf with dividers                        
=<9=08000104,8,1248,Three Way Gondola Shelf - Cent                      
0?9108000101,2,897,400 GF/GL Lower Base Shelf                          
569:08000101,29,534,BFSDU Shelf                                         
<>2608000505,2,922,400 GF/GL Lower Base Shelf wit                      
